"","Country.Name","Region","IncomeGroup","Year","GINI","percentage","school","government","voice","CPI"
"74","Iceland","Europe & Central Asia","High income","1998",NA,72.18684005,111.831031799316,1.914616585,1.429102898,93
"75","Israel","Middle East & North Africa","High income","1998",NA,59.75390878,NA,1.089911699,0.619312763,71
"76","Italy","Europe & Central Asia","High income","1998",NA,45.20998028,90.3988571166992,0.872635841,1.0639745,46
"77","Jamaica","Latin America & Caribbean","Upper middle income","1998",NA,NA,NA,0.190314651,0.727634013,38
"78","Jordan","Middle East & North Africa","Lower middle income","1998",NA,109.0516234,NA,0.047765385,-0.420019746,47
"79","Japan","East Asia & Pacific","High income","1998",NA,19.23202171,101.004920959473,1.06532824,0.946786463,58
"80","Kazakhstan","Europe & Central Asia","Upper middle income","1998",NA,65.20418275,89.9894409179688,-0.798839986,-0.763755381,NA
"81","Kenya","Sub-Saharan Africa","Lower middle income","1998",NA,48.89724194,NA,-0.504650772,-0.866834044,25
"82","Kyrgyz Republic","Europe & Central Asia","Lower middle income","1998",46.4,94.50929453,NA,-0.103453532,-0.808966398,NA
"83","Cambodia","East Asia & Pacific","Lower middle income","1998",NA,75.619473,17.9469203948975,-1.01983726,-0.815465987,NA
"84","Kiribati","East Asia & Pacific","Lower middle income","1998",NA,97.09269231,47.1089210510254,-0.532251894,1.175146937,NA
"85","Korea, Rep.","East Asia & Pacific","High income","1998",NA,69.98776686,100.003273010254,0.363094807,0.638672411,42
"86","Kuwait","Middle East & North Africa","High income","1998",NA,94.9526363,100.533798217773,-0.063935712,-0.299082875,NA
"87","Lebanon","Middle East & North Africa","Upper middle income","1998",NA,54.7171976,89.8107986450195,-0.010613317,-0.399467558,NA
"88","Liberia","Sub-Saharan Africa","Low income","1998",NA,50.13904338,NA,-1.884887695,-0.892448485,NA
"89","Libya","Middle East & North Africa","Upper middle income","1998",NA,40.25270758,NA,-0.936473072,-1.679156423,NA
"90","Sri Lanka","South Asia","Lower middle income","1998",NA,78.49498913,NA,-0.367295891,-0.150950506,NA
"91","Lesotho","Sub-Saharan Africa","Lower middle income","1998",NA,NA,32.2666397094727,-0.08178959,-0.434724659,NA
"92","Lithuania","Europe & Central Asia","High income","1998",NA,89.6518082,92.0233993530273,0.31366992,0.93635422,NA
"93","Luxembourg","Europe & Central Asia","High income","1998",NA,232.8900888,90.6413421630859,2.036945105,1.524928689,87
"94","Latvia","Europe & Central Asia","High income","1998",NA,90.44365087,87.2101211547852,0.230529338,0.828436792,27
"95","Morocco","Middle East & North Africa","Lower middle income","1998",39.5,50.79768215,36.4863510131836,-0.003413341,-0.243397817,37
"96","Moldova","Europe & Central Asia","Lower middle income","1998",39.5,123.5665417,NA,-0.404756755,0.089800134,NA
"97","Madagascar","Sub-Saharan Africa","Low income","1998",NA,50.79799663,NA,-0.7376647,0.152408421,NA
"98","Maldives","South Asia","Upper middle income","1998",NA,NA,34.1794013977051,0.884858727,-0.674291372,NA
"99","Mexico","Latin America & Caribbean","Upper middle income","1998",49,51.77609803,65.4121704101563,0.363646328,0.062786311,33
"100","Macedonia, FYR","Europe & Central Asia","Upper middle income","1998",NA,97.29195818,80.2051162719727,-0.60407722,-0.160104439,NA
"101","Mali","Sub-Saharan Africa","Low income","1998",NA,50.17835002,13.2583999633789,-0.97644794,-0.067682624,NA
"102","Malta","Middle East & North Africa","High income","1998",NA,223.3065765,87.6535263061523,0.937815368,1.136850238,NA
"103","Myanmar","East Asia & Pacific","Lower middle income","1998",NA,NA,NA,-1.200367332,-1.918437123,NA
"104","Montenegro","Europe & Central Asia","Upper middle income","1998",NA,NA,NA,NA,-0.594267905,NA
"105","Mongolia","East Asia & Pacific","Lower middle income","1998",30.3,107.3512108,61.8941688537598,-0.261309803,0.559471786,NA
"106","Mozambique","Sub-Saharan Africa","Low income","1998",NA,41.13164999,NA,-0.387675226,-0.16156669,NA
"107","Mauritania","Sub-Saharan Africa","Lower middle income","1998",NA,69.85052923,16.4567699432373,-0.055272158,-0.711399913,NA
"108","Mauritius","Sub-Saharan Africa","Upper middle income","1998",NA,132.1991317,72.1139678955078,0.384607226,1.007172227,50
"109","Malawi","Sub-Saharan Africa","Low income","1998",NA,70.87517729,31.8614902496338,-0.260428518,0.06455116,41
"110","Malaysia","East Asia & Pacific","Upper middle income","1998",NA,209.4914632,66.9731903076172,0.76055634,-0.42195484,53
"111","Namibia","Sub-Saharan Africa","Upper middle income","1998",NA,93.25178171,55.5367202758789,0.216935784,0.330687076,53
"112","Niger","Sub-Saharan Africa","Low income","1998",NA,44.10121213,6.7581901550293,-1.030421615,-1.29401505,NA
"113","Nigeria","Sub-Saharan Africa","Lower middle income","1998",NA,66.17324503,NA,-1.116363406,-1.080581784,19
"114","Nicaragua","Latin America & Caribbean","Lower middle income","1998",54.4,57.01371507,47.1004295349121,-0.616464436,0.103398241,30
"115","Netherlands","Europe & Central Asia","High income","1998",NA,113.3449777,128.619171142578,2.078731775,1.562134027,90
"116","Norway","Europe & Central Asia","High income","1998",NA,72.0219018,117.633163452148,1.984173536,1.493818998,90
"117","Nepal","South Asia","Low income","1998",NA,56.70960129,NA,-0.621126235,-0.193280414,NA
"118","New Zealand","East Asia & Pacific","High income","1998",NA,57.89508172,112.463401794434,1.693335533,1.557806134,94
"119","Oman","Middle East & North Africa","High income","1998",NA,91.69423094,71.0627670288086,0.449359119,-0.886453092,NA
"120","Pakistan","South Asia","Lower middle income","1998",33.1,34.01172518,NA,-0.46459052,-0.54471904,27
"121","Panama","Latin America & Caribbean","Upper middle income","1998",57.5,151.2684728,NA,0.382403255,0.511523187,NA
"122","Peru","Latin America & Caribbean","Upper middle income","1998",56.1,32.95302179,81.0057220458984,0.171098799,-0.638316989,45
"123","Philippines","East Asia & Pacific","Lower middle income","1998",NA,98.66224418,74.6789779663086,0.025952624,0.419711262,33
"124","Papua New Guinea","East Asia & Pacific","Lower middle income","1998",NA,102.8609321,19.3453197479248,-0.500364184,0.075129718,NA
"125","Poland","Europe & Central Asia","High income","1998",32.3,56.66054525,97.2838363647461,0.685119927,1.087616324,46
"126","Puerto Rico","Latin America & Caribbean","High income","1998",NA,123.4043843,NA,1.20505023,1.127611399,NA
"127","Portugal","Europe & Central Asia","High income","1998",NA,63.8106832,105.98201751709,1.162668705,1.434567332,65
"128","Paraguay","Latin America & Caribbean","Upper middle income","1998",NA,104.6933329,52.009391784668,-1.059661865,-0.251117051,15
"129","Qatar","Middle East & North Africa","High income","1998",NA,91.05812556,87.7543411254883,0.463853002,-0.776588619,NA
"130","Romania","Europe & Central Asia","Upper middle income","1998",31.1,53.47724912,76.6110000610352,-0.569097519,0.389990568,30
"131","Rwanda","Sub-Saharan Africa","Low income","1998",NA,28.79446359,NA,-0.877933025,-1.411473036,NA
"132","Saudi Arabia","Middle East & North Africa","High income","1998",NA,56.08838061,NA,-0.203129813,-1.617568731,NA
"133","Sudan","Sub-Saharan Africa","Lower middle income","1998",NA,21.87513604,NA,-1.191712737,-1.811389208,NA
"134","Senegal","Sub-Saharan Africa","Low income","1998",NA,61.95883844,14.4763202667236,-0.104077064,0.029125068,33
"135","Singapore","East Asia & Pacific","High income","1998",NA,313.8848706,NA,2.148714542,0.112500772,91
"136","Solomon Islands","East Asia & Pacific","Lower middle income","1998",NA,88.85852799,NA,-0.799139977,0.777904451,NA
"137","Sierra Leone","Sub-Saharan Africa","Low income","1998",NA,35.33267956,NA,-1.384434462,-1.132704616,NA
"138","El Salvador","Latin America & Caribbean","Lower middle income","1998",54.5,61.87335532,56.0375595092773,-0.49949047,0.043139808,36
"139","Somalia","Sub-Saharan Africa","Low income","1998",NA,NA,NA,-2.065329552,-1.817961335,NA
"140","Serbia","Europe & Central Asia","Upper middle income","1998",NA,51.52844714,NA,-0.884606361,-0.973842919,NA
"141","South Sudan","Sub-Saharan Africa","Low income","1998",NA,NA,NA,NA,NA,NA
"142","Suriname","Latin America & Caribbean","Upper middle income","1998",NA,83.59510582,NA,-0.468371958,0.170819804,NA
"143","Slovak Republic","Europe & Central Asia","High income","1998",NA,103.9221944,84.254280090332,0.540169358,0.710790992,39
"144","Slovenia","Europe & Central Asia","High income","1998",NA,96.77501823,92.6980972290039,0.825600743,1.204610944,NA
"145","Sweden","Europe & Central Asia","High income","1998",NA,75.74384605,155.776336669922,1.955860138,1.536840677,95
"146","Swaziland","Sub-Saharan Africa","Lower middle income","1998",NA,151.9504921,45.785041809082,-0.593464732,-1.236201644,NA
"147","Seychelles","Sub-Saharan Africa","High income","1998",NA,83.06578577,99.5658569335938,0.305920124,0.129361436,NA
"148","Chad","Sub-Saharan Africa","Low income","1998",NA,48.0589829,9.57396984100342,-0.575264215,-0.972022057,NA
"149","Togo","Sub-Saharan Africa","Low income","1998",NA,72.98782249,NA,-0.88602668,-1.124888897,NA
"150","Thailand","East Asia & Pacific","Upper middle income","1998",41.5,100.2403458,61.170108795166,0.091475248,0.382473677,30
"151","Tajikistan","Europe & Central Asia","Lower middle income","1998",NA,106.9245103,NA,-1.411775947,-1.505258083,NA
"152","Turkmenistan","Europe & Central Asia","Upper middle income","1998",40.8,103.4659557,NA,-1.174292445,-1.65626657,NA
"153","Timor-Leste","East Asia & Pacific","Lower middle income","1998",NA,NA,NA,NA,-1.700446963,NA
"154","Tonga","East Asia & Pacific","Upper middle income","1998",NA,79.46078623,95.786003112793,-0.265363872,0.249043971,NA
"155","Trinidad and Tobago","Latin America & Caribbean","High income","1998",NA,102.3311916,NA,0.298449188,0.839022398,NA
"156","Tunisia","Middle East & North Africa","Lower middle income","1998",NA,79.97945826,68.4296722412109,0.532295942,-0.823301256,50
"157","Turkey","Europe & Central Asia","Upper middle income","1998",NA,40.27434754,NA,-0.264812887,-0.615934074,34
"158","Tanzania","Sub-Saharan Africa","Low income","1998",NA,37.41762719,NA,-0.451497078,-0.516356766,19
"159","Uganda","Sub-Saharan Africa","Low income","1998",NA,30.04392193,NA,-0.398971587,-0.855878174,26
"160","Ukraine","Europe & Central Asia","Lower middle income","1998",NA,86.04972551,NA,-0.875050068,-0.240636587,28
"161","Uruguay","Latin America & Caribbean","High income","1998",NA,35.64001539,89.1358032226563,0.469171375,0.974659562,43
"162","United States","North America","High income","1998",NA,22.75973995,94.8289337158203,1.764996171,1.336877227,75
"163","Uzbekistan","Europe & Central Asia","Lower middle income","1998",44.7,45.29330202,NA,-1.334786415,-1.758488417,NA
"164","St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income","1998",NA,108.7815938,NA,-0.131919816,1.056221128,NA
"165","Vietnam","East Asia & Pacific","Lower middle income","1998",35.4,97.00124851,57.838020324707,-0.382613003,-1.347712874,25
"166","Vanuatu","East Asia & Pacific","Lower middle income","1998",NA,94.73810093,NA,-0.398807883,0.639759064,NA
"167","Samoa","East Asia & Pacific","Upper middle income","1998",NA,82.50632618,77.9048690795898,0.330249906,0.674378455,NA
"168","Kosovo","Europe & Central Asia","Lower middle income","1998",NA,NA,NA,NA,-1.268769026,NA
"169","South Africa","Sub-Saharan Africa","Upper middle income","1998",NA,48.89661764,92.0211486816406,0.657636762,0.84697777,52
"170","Zambia","Sub-Saharan Africa","Lower middle income","1998",49.1,56.25030702,NA,-0.869251072,-0.483754486,35
"171","Zimbabwe","Sub-Saharan Africa","Low income","1998",NA,88.51404167,NA,-0.334312379,-0.789812207,42
"172","Afghanistan","South Asia","Low income","2000",NA,NA,NA,-2.231650829,-2.031416893,NA
"173","Angola","Sub-Saharan Africa","Lower middle income","2000",NA,152.4556525,13.7794504165649,-1.462309718,-1.458064675,17
"174","Albania","Europe & Central Asia","Upper middle income","2000",NA,55.92042872,71.4527969360352,-0.755117714,-0.285138667,NA
"175","United Arab Emirates","Middle East & North Africa","High income","2000",NA,NA,NA,0.79149574,-0.516841352,NA
"176","Argentina","Latin America & Caribbean","Upper middle income","2000",51.1,22.62250234,96.5234527587891,0.032177139,0.418346971,35
"177","Armenia","Europe & Central Asia","Lower middle income","2000",NA,73.91856775,90.7499618530273,-0.515752614,-0.374595284,25
"178","Australia","East Asia & Pacific","High income","2000",NA,40.85591408,162.610046386719,1.810187459,1.471305132,83
"179","Austria","Europe & Central Asia","High income","2000",NA,85.30957956,98.8461837768555,1.929281592,1.317559481,77
"180","Azerbaijan","Europe & Central Asia","Upper middle income","2000",NA,77.41945487,NA,-1.005987287,-0.906229019,15
"181","Burundi","Sub-Saharan Africa","Low income","2000",NA,22.55372449,NA,-1.384126782,-1.489835978,NA
"182","Belgium","Europe & Central Asia","High income","2000",NA,141.0790715,144.674713134766,1.734675765,1.366504431,61
"183","Benin","Sub-Saharan Africa","Low income","2000",NA,55.99169036,21.6056995391846,-0.234243512,0.412923425,NA
"184","Burkina Faso","Sub-Saharan Africa","Low income","2000",NA,34.5123825,10.4223098754883,-0.576567948,-0.230154827,30
"185","Bangladesh","South Asia","Lower middle income","2000",33.4,29.32171436,48.1097297668457,-0.580437005,-0.227924496,NA
"186","Bulgaria","Europe & Central Asia","Upper middle income","2000",NA,78.32361937,92.5642471313477,0.002994847,0.46049872,35
"187","Bahrain","Middle East & North Africa","High income","2000",NA,135.8090158,97.5679092407227,0.588942409,-1.056879878,NA
"188","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","2000",NA,104.1906109,NA,-0.837896109,-0.10834337,NA
"189","Belarus","Europe & Central Asia","Upper middle income","2000",31.2,141.609166,NA,-0.604995489,-1.312422276,41
"190","Belize","Latin America & Caribbean","Upper middle income","2000",NA,126.6416164,67.9743728637695,0.062883683,0.975879788,NA
"191","Bolivia","Latin America & Caribbean","Lower middle income","2000",63,45.59777511,71.0725479125977,-0.35506168,0.189972907,27
"192","Brazil","Latin America & Caribbean","Upper middle income","2000",NA,22.63977857,NA,0.09408024,0.301593602,39
"193","Barbados","Latin America & Caribbean","High income","2000",NA,88.77943296,103.61897277832,1.446284294,1.264497519,NA
"194","Brunei Darussalam","East Asia & Pacific","High income","2000",NA,103.1716255,86.2226028442383,0.914678395,-0.712918997,NA
"195","Bhutan","South Asia","Lower middle income","2000",NA,77.66484503,30.452299118042,0.829471529,-1.112356544,NA
"196","Botswana","Sub-Saharan Africa","Upper middle income","2000",NA,91.92472969,75.2137603759766,0.525810182,0.674277008,60
"197","Central African Republic","Sub-Saharan Africa","Low income","2000",NA,45.65978199,NA,-1.324442863,-0.670608699,NA
"198","Canada","North America","High income","2000",33.3,82.85772601,101.520088195801,1.931157827,1.531965375,92
"199","Switzerland","Europe & Central Asia","High income","2000",NA,98.10559702,95.4123382568359,2.042146683,1.413346887,86
"200","Chile","Latin America & Caribbean","High income","2000",52.8,59.31582211,87.1004791259766,1.122833371,0.888868988,74
"201","China","East Asia & Pacific","Upper middle income","2000",NA,39.75275915,61.0274391174316,-0.108963028,-1.384080529,31
"202","Cameroon","Sub-Saharan Africa","Lower middle income","2000",NA,50.85286897,27.2951202392578,-0.750395596,-1.060406923,20
"203","Congo, Dem. Rep.","Sub-Saharan Africa","Low income","2000",NA,27.01440292,NA,-1.884150743,-1.733551145,NA
"204","Congo, Rep.","Sub-Saharan Africa","Lower middle income","2000",NA,123.9098844,NA,-1.264703512,-1.430073023,NA
"205","Colombia","Latin America & Caribbean","Upper middle income","2000",58.7,32.66708547,69.9315795898438,-0.321532965,-0.438140959,32
"206","Comoros","Sub-Saharan Africa","Low income","2000",NA,51.09948808,NA,-1.188422799,-1.032639146,NA
"207","Cabo Verde","Sub-Saharan Africa","Lower middle income","2000",NA,87.52060836,67.2982864379883,0.318925202,0.803981602,NA
"208","Costa Rica","Latin America & Caribbean","Upper middle income","2000",47.4,86.89600867,63.9694404602051,0.284294307,1.094698906,54
"209","Cuba","Latin America & Caribbean","Upper middle income","2000",NA,31.07598788,83.4091262817383,-0.363302588,-1.635162115,NA
"210","Cyprus","Europe & Central Asia","High income","2000",NA,137.4964135,93.3721389770508,1.130084038,1.057137489,NA
"211","Czech Republic","Europe & Central Asia","High income","2000",NA,98.2331208,88.4652709960938,0.649402976,0.762775123,43
"212","Germany","Europe & Central Asia","High income","2000",NA,61.3899966,99.8445434570313,1.885063171,1.314802051,76
"213","Djibouti","Middle East & North Africa","Lower middle income","2000",NA,85.43841544,14.0574903488159,-1.034471869,-0.877741814,NA
"214","Dominica","Latin America & Caribbean","Upper middle income","2000",NA,97.54145338,105.660652160645,0.469839245,1.093752384,NA
"215","Denmark","Europe & Central Asia","High income","2000",NA,82.98395071,127.054298400879,1.980277419,1.535965323,98
"216","Dominican Republic","Latin America & Caribbean","Upper middle income","2000",52,82.91427366,59.0373802185059,-0.316164643,0.225749969,NA
"217","Algeria","Middle East & North Africa","Upper middle income","2000",NA,62.85834408,64.7248306274414,-0.963840961,-1.110052228,NA
"218","Ecuador","Latin America & Caribbean","Upper middle income","2000",56.4,59.4646993,57.8469200134277,-0.765904486,-0.247218117,26
"219","Eritrea","Sub-Saharan Africa","Low income","2000",NA,67.88136193,23.0205307006836,-0.976584435,-1.470739365,NA
"220","Spain","Europe & Central Asia","High income","2000",NA,60.23783366,110.268508911133,1.762161851,1.277019858,70
"221","Estonia","Europe & Central Asia","High income","2000",NA,126.5135312,93.8263092041016,0.737845659,0.98800236,57
"222","Ethiopia","Sub-Saharan Africa","Low income","2000",NA,NA,13.5022001266479,-0.903666973,-1.031738877,32
"223","Finland","Europe & Central Asia","High income","2000",NA,74.99431239,124.759178161621,2.118074417,1.593033314,100
"224","Fiji","East Asia & Pacific","Upper middle income","2000",NA,135.421932,78.3434524536133,-0.459180057,-0.346214205,NA
"225","France","Europe & Central Asia","High income","2000",NA,55.25936459,108.777549743652,1.7117697,1.182986617,67
"226","Gabon","Sub-Saharan Africa","Upper middle income","2000",NA,101.7019289,NA,-0.571240306,-0.470682234,NA
"227","United Kingdom","Europe & Central Asia","High income","2000",NA,51.53089941,101.933380126953,1.848112941,1.323269844,87
"228","Georgia","Europe & Central Asia","Lower middle income","2000",40.5,62.66184255,78.8817901611328,-0.648384273,-0.283675969,NA
"229","Ghana","Sub-Saharan Africa","Lower middle income","2000",NA,116.0484302,35.6556816101074,0.068598226,0.070623517,35
"230","Guinea","Sub-Saharan Africa","Low income","2000",NA,53.48171901,NA,-0.813996971,-1.101043224,NA
"231","Guinea-Bissau","Sub-Saharan Africa","Low income","2000",NA,54.87335091,17.1875801086426,-1.007201552,-0.638303697,NA
"232","Equatorial Guinea","Sub-Saharan Africa","Upper middle income","2000",NA,334.1331018,30.5690097808838,-1.514751554,-1.599229217,NA
"233","Greece","Europe & Central Asia","High income","2000",NA,58.41567754,89.9372863769531,0.625266254,1.013062,49
"234","Grenada","Latin America & Caribbean","Upper middle income","2000",NA,104.9652601,NA,0.41024667,0.715227902,NA
"235","Guatemala","Latin America & Caribbean","Lower middle income","2000",54.8,49.1455879,36.1636695861816,-0.508263528,-0.285944521,NA
"236","Guyana","Latin America & Caribbean","Upper middle income","2000",NA,206.768601,NA,-0.186071023,0.464220554,NA
"237","Honduras","Latin America & Caribbean","Lower middle income","2000",NA,120.3921646,NA,-0.524023354,-0.098604575,NA
"238","Croatia","Europe & Central Asia","Upper middle income","2000",NA,76.05694432,85.527473449707,0.332190484,0.510653853,37
"239","Haiti","Latin America & Caribbean","Low income","2000",NA,46.10982212,NA,-1.362669826,-0.733862698,NA
"240","Hungary","Europe & Central Asia","High income","2000",NA,136.9903717,96.1834030151367,0.982523382,1.135266662,52
